Año,Porc_Total,1° Año,2° Año,3° Año,4° Año,5° Año,6° Año
2010,9.71,5.05,6.51,10.24,10.44,9.06,28.16
2011,8.67,4.31,4.88,8.58,8.43,9.37,28.81
2012,7.84,2.4,6.2,5.45,9.94,5.6,25.11
2013,6.94,4.36,7.41,2.79,7.28,3.44,22.62
2014,9.34,2.31,7.23,7.95,8.15,5.48,32.11
2015,8.06,1.37,5.13,11.94,8.42,3.45,29.29
2016,7.96,0.59,6.48,8.07,8.01,5.54,25.39
2017,6.46,-0.87,4.98,6.4,6.02,2.31,25.15
2018,7.15,1.77,3.88,4.33,6.98,2.87,28.96
2019,5.55,-0.66,3.53,4.74,5.16,1.23,23.42
2020,6.52,-0.42,0.9,-0.26,1.92,2.19,43.02
2021,5.71,-1.23,1.82,3.62,4.58,5.53,21.89
