Año,Porc_Total,1° Año,2° Año,3° Año,4° Año,5° Año,6° Año
2010,76.53,76.44,74.0,76.34,76.53,82.24,71.28
2011,77.0,76.3,73.11,77.64,78.42,83.58,70.38
2012,82.16,84.14,77.7,84.71,82.32,88.94,74.4
2013,82.61,85.62,75.41,82.99,85.15,90.44,75.23
2014,80.94,85.57,76.73,81.32,83.1,89.68,67.89
2015,84.07,90.16,82.27,79.27,84.36,90.07,70.66
2016,84.3,91.82,81.48,82.76,83.9,88.93,73.99
2017,86.39,94.7,83.98,84.95,85.88,92.04,74.18
2018,87.4,93.3,87.63,89.55,87.29,92.04,70.35
2019,88.5,95.63,89.04,88.24,88.1,91.64,75.37
2020,93.48,100.39,99.1,100.26,98.08,97.81,56.98
2021,,,,,,,
2022,,,,,,,
