Año,Porc_Total,Porc_Estatal,Porc_Privado,1º Año,2º Año,3º Año,4º Año,5º Año,6º Año,Ush_Total,1º Año USH,2º Año USH,3º Año USH ,4º Año USH,5º Año USH,6º Año USH,RG_Total,1º Año RG ,2º Año RG,3º Año RG,4º Año RG,5º Año RG,6º Año RG
2008,14.61,18.86,2.5,18.19,18.77,15.88,16.2,9.24,0.13,14.22,14.97,19.03,17.22,16.07,9.63,0.3,14.92,20.78,18.54,14.83,16.3,8.9,0.0
2009,13.38,16.81,3.46,18.63,17.73,15.11,10.57,8.06,0.65,11.81,14.83,16.37,12.76,9.52,9.74,0.28,14.74,21.5,18.94,17.4,11.45,6.67,0.99
2010,13.76,17.51,3.16,18.52,19.49,13.43,13.03,8.7,0.57,15.44,18.39,20.53,15.2,17.69,12.01,0.7,12.33,18.61,18.59,11.86,8.54,5.59,0.46
2011,14.33,19.28,1.38,19.39,22.02,13.79,13.15,7.05,0.81,13.92,18.39,22.55,12.7,14.27,5.49,1.51,14.68,20.17,21.59,14.74,12.08,8.53,0.23
2012,10.0,13.1,2.19,13.47,16.11,9.84,7.73,5.46,0.49,10.15,13.11,17.99,9.19,9.6,4.43,0.12,9.88,13.73,14.6,10.32,5.97,6.36,0.85
2013,10.45,13.53,2.47,10.02,17.18,14.23,7.57,6.12,2.15,9.98,10.22,16.85,14.52,7.12,4.67,1.08,10.83,9.87,17.45,14.01,7.95,7.43,3.06
2014,9.71,12.72,1.81,12.13,16.04,10.73,8.76,4.84,0.0,9.91,12.7,16.02,9.26,10.57,6.34,0.0,9.57,11.72,16.05,11.88,7.34,3.6,0.0
2015,7.81,10.37,1.06,8.44,12.53,8.82,7.22,6.15,0.05,8.14,9.9,14.2,8.07,7.41,5.75,0.0,7.55,7.39,11.38,9.37,7.07,6.47,0.09
2016,7.74,10.27,1.17,7.59,12.03,9.17,8.09,5.54,0.62,7.3,6.93,11.35,8.77,8.7,5.13,0.23,8.02,8.03,12.51,9.45,7.6,5.87,0.95
2017,7.16,9.51,0.73,6.18,11.04,8.65,8.1,5.65,0.68,8.09,7.26,12.89,9.31,9.21,7.85,0.73,6.27,5.44,9.79,8.16,7.24,3.87,0.63
2018,5.45,7.18,0.59,4.93,8.49,6.12,5.73,5.08,0.69,5.85,5.99,10.33,5.15,6.37,5.61,0.73,5.02,4.26,7.22,6.78,5.23,4.66,0.66
2019,5.95,7.75,0.55,5.04,7.43,7.02,6.74,7.13,1.21,6.2,4.98,8.39,7.13,6.8,8.15,1.58,5.6,5.08,6.79,6.95,6.69,6.31,0.94
2020,,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,2.89,3.98,0.35,1.59,3.87,2.91,4.26,3.71,0.75,3.75,1.72,5.56,2.65,5.05,6.29,1.77,2.58,1.73,2.98,3.72,4.5,2.35,0.0
