Año,Porc_Total,1° Año,2° Año,3° Año,4° Año,5° Año,6° Año
2010,41.06,38.92,44.17,45.18,41.93,38.29,34.6
2011,31.3,30.77,33.35,33.39,32.53,27.48,27.48
2012,28.47,26.85,30.91,30.33,29.77,27.26,23.82
2013,40.48,37.59,40.6,44.43,43.34,41.92,34.18
2014,37.95,31.52,40.78,41.73,39.96,37.32,35.99
2015,33.2,27.24,34.69,35.81,36.34,34.58,31.02
2016,31.16,24.5,32.63,32.33,33.31,33.56,32.11
2017,30.35,23.29,33.95,33.09,31.68,30.85,28.92
2018,26.15,18.34,26.44,29.82,28.89,27.53,26.88
2019,23.92,14.61,22.45,26.58,28.95,27.67,24.18
2020,22.61,16.31,20.03,23.74,25.69,28.31,22.33
2021,17.23,8.19,11.95,16.66,20.35,23.21,24.13
2022,17.06,10.38,14.14,15.11,19.66,21.55,22.48
